title,price,desc,images
Ready to ship holiday nordic tree embroidered pillow cover WITH DOWN INSERT each unique vintage look mom gift teacher,40.00,"Pretty Nordic Christmas tree with embroidered details here and there mixed in with the screen printed design !  You’ll love the scandinavian charm in this print. Shop while supplies last. 16” pillow cover on an 18” down insert. The reverse is a fern green velvet. The covers are removable, zipper closure. Recommend spot clean only.","['https://i.etsystatic.com/6035838/r/il/bebd7e/4391452825/il_794xN.4391452825_sj85.jpg', 'https://i.etsystatic.com/6035838/r/il/39428b/4344065922/il_794xN.4344065922_6xzd.jpg', 'https://i.etsystatic.com/6035838/r/il/42775c/4344065776/il_794xN.4344065776_qnhu.jpg']"
Ready to ship with insert Designer modern woven check windowpane pillow cover light grey yellow cream textured modern farmhouse boho,45.00,"Modern plaid windowpane pillow cover to go with many decor styles. *same fabric front and back Comes with an 16” down insert. Spot clean or wash gentle cycle cold, dry flat.",[]
Ready to ship with insert Designer modern woven check windowpane pillow cover black beige textured modern farmhouse boho,55.00,"Modern plaid windowpane pillow cover to go with many decor styles. *check fabric front with a solid natural reverse fabric. Comes with an 18” down insert. Spot clean or wash gentle cycle cold, dry flat.","['https://i.etsystatic.com/6035838/r/il/2ffbd6/4391435603/il_794xN.4391435603_qkr9.jpg', 'https://i.etsystatic.com/6035838/r/il/8d3ae2/4391435691/il_794xN.4391435691_7i2p.jpg', 'https://i.etsystatic.com/6035838/r/il/4a01a8/4274519292/il_794xN.4274519292_liha.jpg', 'https://i.etsystatic.com/6035838/r/il/03a9f6/4321919643/il_794xN.4321919643_fss0.jpg', 'https://i.etsystatic.com/6035838/r/il/1e0e41/4274519664/il_794xN.4274519664_lh1k.jpg', 'https://i.etsystatic.com/6035838/r/il/6a82c1/4297278183/il_794xN.4297278183_55ap.jpg', 'https://i.etsystatic.com/6035838/r/il/4ad0a9/4274519794/il_794xN.4274519794_7dj3.jpg', 'https://i.etsystatic.com/6035838/r/il/d60987/3349360174/il_794xN.3349360174_6qed.jpg', 'https://i.etsystatic.com/6035838/r/il/ecc3bc/3113810086/il_794xN.3113810086_7soi.jpg', 'https://i.etsystatic.com/6035838/r/il/9c616d/3202948947/il_794xN.3202948947_ri5z.jpg']"
Ready to ship with insert Designer modern woven check windowpane pillow cover light brown camel cream textured modern farmhouse boho,55.00,"Modern plaid windowpane pillow cover to go with many decor styles. *check fabric front with a solid natural reverse fabric. Comes with an 18” down insert. Spot clean or wash gentle cycle cold, dry flat.","['https://i.etsystatic.com/6035838/r/il/308f37/4321919159/il_794xN.4321919159_n3t7.jpg', 'https://i.etsystatic.com/6035838/r/il/8081db/4321919511/il_794xN.4321919511_coem.jpg', 'https://i.etsystatic.com/6035838/r/il/4a01a8/4274519292/il_794xN.4274519292_liha.jpg', 'https://i.etsystatic.com/6035838/r/il/03a9f6/4321919643/il_794xN.4321919643_fss0.jpg', 'https://i.etsystatic.com/6035838/r/il/1e0e41/4274519664/il_794xN.4274519664_lh1k.jpg', 'https://i.etsystatic.com/6035838/r/il/6a82c1/4297278183/il_794xN.4297278183_55ap.jpg', 'https://i.etsystatic.com/6035838/r/il/4ad0a9/4274519794/il_794xN.4274519794_7dj3.jpg', 'https://i.etsystatic.com/6035838/r/il/d60987/3349360174/il_794xN.3349360174_6qed.jpg', 'https://i.etsystatic.com/6035838/r/il/ecc3bc/3113810086/il_794xN.3113810086_7soi.jpg', 'https://i.etsystatic.com/6035838/r/il/9c616d/3202948947/il_794xN.3202948947_ri5z.jpg']"
Ready to ship natural beige linen solid red tartan plaid piping pillow cover WITH INSERT  lodge cabin boho throw holiday Christmas,40.00,"Ready to ship linen pillow with tartan plaid piping. The cover is on an 18” down insert. * Fabric both sides* zipper closure* other covers shown with this listing are available in separate listings and are not included in this one.*hand wash cold, dry flat and iron as needed on cotton setting.","['https://i.etsystatic.com/6035838/r/il/208a93/4391414779/il_794xN.4391414779_cj9c.jpg', 'https://i.etsystatic.com/6035838/r/il/f5b910/4344027616/il_794xN.4344027616_2o7y.jpg', 'https://i.etsystatic.com/6035838/r/il/8750f0/4344027570/il_794xN.4344027570_j9dk.jpg', 'https://i.etsystatic.com/6035838/r/il/37bb80/4391415333/il_794xN.4391415333_pj1a.jpg', 'https://i.etsystatic.com/6035838/r/il/40a793/4367272093/il_794xN.4367272093_hjmq.jpg', 'https://i.etsystatic.com/6035838/r/il/48dfe0/1099106436/il_794xN.1099106436_p03d.jpg', 'https://i.etsystatic.com/6035838/r/il/872c08/4367272045/il_794xN.4367272045_tn2h.jpg', 'https://i.etsystatic.com/6035838/r/il/243f6c/4319881038/il_794xN.4319881038_5hbk.jpg', 'https://i.etsystatic.com/6035838/r/il/3aa5b3/4367272255/il_794xN.4367272255_mnxx.jpg', 'https://i.etsystatic.com/6035838/r/il/5805c7/4367272323/il_794xN.4367272323_6fzz.jpg']"
"Beautiful , Covington Leland preppy plaid curtain panels black grey beige tan 48x84 48x96 48x108 54x84 54x96 54x108 or custom sizes",60.00,"Classic plaid curtain panels. 100% cotton, woven upholstery weight, unlined. Listing is for one panel. Choose the quantity in the drop down menu. Choose your size in the drop down menu. *the sizes can be modified per request. The width cannot be wider than 54"" however.Please message if you'd like a different size.Free samples can be sent per request.Fabric material is a 100% cotton. Horizontal stripesTurn around time is 2-3 weeks, but if you need them sooner I can try to accommodate your needs. Just ask!",[]
Ready to ship linen solid ivory tartan plaid piping pillow cover WITH INSERT red green white lodge cabin boho throw holiday Christmas,40.00,"Ready to ship linen pillow with tartan plaid piping. The cover is on an 18” down insert. * Fabric both sides* zipper closure* other covers shown with this listing are available in separate listings and are not included in this one.*hand wash cold, dry flat and iron as needed on cotton setting.","['https://i.etsystatic.com/6035838/r/il/b39da1/4367271695/il_794xN.4367271695_cto5.jpg', 'https://i.etsystatic.com/6035838/r/il/35269f/4319880612/il_794xN.4319880612_2a3y.jpg', 'https://i.etsystatic.com/6035838/r/il/d5540f/4319880288/il_794xN.4319880288_5go0.jpg', 'https://i.etsystatic.com/6035838/r/il/62972e/4319880758/il_794xN.4319880758_hzlw.jpg', 'https://i.etsystatic.com/6035838/r/il/48dfe0/1099106436/il_794xN.1099106436_p03d.jpg', 'https://i.etsystatic.com/6035838/r/il/872c08/4367272045/il_794xN.4367272045_tn2h.jpg', 'https://i.etsystatic.com/6035838/r/il/40a793/4367272093/il_794xN.4367272093_hjmq.jpg', 'https://i.etsystatic.com/6035838/r/il/243f6c/4319881038/il_794xN.4319881038_5hbk.jpg', 'https://i.etsystatic.com/6035838/r/il/3aa5b3/4367272255/il_794xN.4367272255_mnxx.jpg', 'https://i.etsystatic.com/6035838/r/il/5805c7/4367272323/il_794xN.4367272323_6fzz.jpg']"
Ready to ship  holiday gnome embroidered pillow cover WITH INSERT red piping Christmas red green white vintage look mom gift teacher,50.00,"Ever-loving Christmas gnomes decking the halls!  You’ll love the vintage charm in this print, with embroidered details here and there for some added depth and detail. Shop while supplies last!Cover and 18” down insert included. The covers are removable, zipper closure. Recommend spot clean only.","['https://i.etsystatic.com/6035838/r/il/938bd6/4391370067/il_794xN.4391370067_lrto.jpg', 'https://i.etsystatic.com/6035838/r/il/db6464/4391369981/il_794xN.4391369981_7hdw.jpg', 'https://i.etsystatic.com/6035838/r/il/9c78f4/4391370019/il_794xN.4391370019_168a.jpg']"
Ready to ship holiday gnome embroidered pillow cover WITH INSERT green piping Christmas red green black vintage look mom gift teacher,40.00,"Ever-loving Christmas gnomes decking the halls!  You’ll love the vintage charm in this print, with embroidered details here and there for some added depth and detail. Shop while supplies last!16” pillow cover and down insert The covers are removable, zipper closure. Recommend spot clean only.","['https://i.etsystatic.com/6035838/r/il/648926/4391382523/il_794xN.4391382523_6emr.jpg', 'https://i.etsystatic.com/6035838/r/il/2d7a17/4343995836/il_794xN.4343995836_c7qo.jpg', 'https://i.etsystatic.com/6035838/r/il/15754e/4391382545/il_794xN.4391382545_cyee.jpg', 'https://i.etsystatic.com/6035838/r/il/ab2705/4343996158/il_794xN.4343996158_pz36.jpg']"
Designer fabric navy blue velvet lux textured pillow cover euro sham 16 18 20 22 24 26 nursery extra long lumbar euro Christmas,28.00,"Navy blue velvet pillow coverupholstery weight fabricfabric both sidesZipper closureSerged seams for durability made about 2” smaller than the insert for a nice snug fitCover only, insert not included If you would like a different size than what's listed please message me a request!  Also, I send free swatches if you need.Covers featured in pictures 2-8 are only complimentary covers available through my shop in separate listings.  This listing is for the first photo only.Cover only, insert not included  Spot clean or Hand wash cold is recommended, dry flat, iron as needed.","['https://i.etsystatic.com/6035838/r/il/b3e9a4/4356820311/il_794xN.4356820311_a63e.jpg', 'https://i.etsystatic.com/6035838/r/il/4126ee/4356821173/il_794xN.4356821173_h9mw.jpg', 'https://i.etsystatic.com/6035838/r/il/f38a33/4356820671/il_794xN.4356820671_63cw.jpg', 'https://i.etsystatic.com/6035838/r/il/e2671b/4356821073/il_794xN.4356821073_4sok.jpg', 'https://i.etsystatic.com/6035838/r/il/280e66/1665025512/il_794xN.1665025512_ngky.jpg', 'https://i.etsystatic.com/6035838/r/il/66b619/1712496177/il_794xN.1712496177_s1rj.jpg', 'https://i.etsystatic.com/6035838/r/il/3a0e71/4309423844/il_794xN.4309423844_fmjj.jpg', 'https://i.etsystatic.com/6035838/r/il/76ed31/4309423860/il_794xN.4309423860_fw1q.jpg', 'https://i.etsystatic.com/6035838/r/il/01e326/4309424004/il_794xN.4309424004_6b17.jpg', 'https://i.etsystatic.com/6035838/r/il/64f0c2/4309424122/il_794xN.4309424122_45gn.jpg']"
